DATE, WD, TEOM, WDF, OLTEOM
2011-01-01 01:00,334.4,-999,1,20
2011-01-01 02:00,4.31,-999,1,20
2011-01-01 03:00,6,-999,1,20
2011-01-01 04:00,46.3,-999,1,20
2011-01-01 05:00,23.61,-999,1,20
2011-01-01 06:00,18.46,-999,1,20
2011-01-01 07:00,30.81,-999,1,20
2011-01-01 08:00,18.03,-999,1,20
2011-01-01 09:00,326.7,-999,-1,20
2011-01-01 10:00,159.5,-999,-1,20
2011-01-01 11:00,240.7,-999,-1,20
2011-01-01 12:00,284.8,-999,-1,20
2011-01-01 13:00,283,-999,-1,20
2011-01-01 14:00,260.4,-999,-1,20
2011-01-01 15:00,261.2,-999,-1,20
2011-01-01 16:00,258.9,-999,-1,20
2011-01-01 17:00,292.6,-999,-1,20
2011-01-01 18:00,230.2,-999,-1,20
2011-01-01 19:00,333.9,-999,1,20
2011-01-01 20:00,359.1,-999,1,20
2011-01-01 21:00,2.91,-999,1,20
2011-01-01 22:00,35.97,-999,1,20
2011-01-01 23:00,126.9,-999,1,20
2011-01-02 00:00,53.27,-999,1,20
2011-01-02 01:00,314.1,-999,-1,20
2011-01-02 02:00,318.7,-999,-1,20
2011-01-02 03:00,4.91,-999,1,20
2011-01-02 04:00,207.5,-999,-1,20
2011-01-02 05:00,212.3,-999,-1,20
2011-01-02 06:00,27.75,-999,1,20
2011-01-02 07:00,255.9,-999,-1,20
2011-01-02 08:00,307.1,-999,-1,20
2011-01-02 09:00,351.4,-999,1,20
2011-01-02 10:00,89.4,-999,1,20
2011-01-02 11:00,253.2,-999,-1,20
2011-01-02 12:00,243.4,-999,-1,20
2011-01-02 13:00,200,-999,-1,20
2011-01-02 14:00,183.5,-999,-1,20
2011-01-02 15:00,250,-999,-1,20
2011-01-02 16:00,272.6,-999,-1,20
2011-01-02 17:00,232.1,-999,-1,20
2011-01-02 18:00,249.7,-999,-1,20
2011-01-02 19:00,305.3,-999,-1,20
2011-01-02 20:00,340.2,-999,1,20
2011-01-02 21:00,209.7,-999,-1,20
2011-01-02 22:00,112.3,-999,1,20
2011-01-02 23:00,112.3,-999,1,20
2011-01-03 00:00,131.8,-999,1,20
2011-01-03 01:00,195.3,-999,-1,20
2011-01-03 02:00,98.3,-999,1,20
2011-01-03 03:00,94.5,-999,1,20
2011-01-03 04:00,122.8,-999,1,20
