"","year","day","site","pm10"
"1",1993,1,"KE",20
"2",1993,1,"LP",20
"3",1993,2,"KE",20
"4",1993,2,"LP",20
"5",1993,3,"KE",20
"6",1993,3,"LP",20
"7",1993,4,"KE",20
"8",1993,4,"LP",20
"9",1993,5,"KE",20
"10",1993,5,"LP",20
"11",1993,6,"KE",20
"12",1993,6,"LP",20
"13",1993,7,"KE",20
"14",1993,7,"LP",20
"15",1993,8,"KE",20
"16",1993,8,"LP",20
"17",1993,9,"KE",20
"18",1993,9,"LP",20
"19",1993,10,"KE",20
"20",1993,10,"LP",20
"21",1993,11,"KE",20
"22",1993,11,"LP",20
"23",1993,12,"KE",20
"24",1993,12,"LP",20
"25",1993,13,"KE",20
"26",1993,13,"LP",20
"27",1993,14,"KE",20
"28",1993,14,"LP",20
"29",1993,15,"KE",20
"30",1993,15,"LP",20
"31",1993,16,"KE",20
"32",1993,16,"LP",20
"33",1993,17,"KE",20
"34",1993,17,"LP",20
"35",1993,18,"KE",20
"36",1993,18,"LP",20
"37",1993,19,"KE",20
"38",1993,19,"LP",20
"39",1993,20,"KE",20
"40",1993,20,"LP",20
"41",1993,21,"KE",20
"42",1993,21,"LP",20
"43",1993,22,"KE",20
"44",1993,22,"LP",20
"45",1993,23,"KE",20
"46",1993,23,"LP",20
"47",1993,24,"KE",20
"48",1993,24,"LP",20
"49",1993,25,"KE",20
"50",1993,25,"LP",20
"51",1993,26,"KE",20
"52",1993,26,"LP",20
"53",1993,27,"KE",20
"54",1993,27,"LP",20
"55",1993,28,"KE",20
"56",1993,28,"LP",20
"57",1993,29,"KE",20
"58",1993,29,"LP",20
"59",1993,30,"KE",20
"60",1993,30,"LP",20
"61",1993,31,"KE",20
"62",1993,31,"LP",20
"63",1993,32,"KE",20
"64",1993,32,"LP",20
"65",1993,33,"KE",20
"66",1993,33,"LP",20
"67",1993,34,"KE",20
"68",1993,34,"LP",20
"69",1993,35,"KE",20
"70",1993,35,"LP",20
"71",1993,36,"KE",20
"72",1993,36,"LP",20
"73",1993,37,"KE",20
"74",1993,37,"LP",20
"75",1993,38,"KE",20
"76",1993,38,"LP",20
"77",1993,39,"KE",20
"78",1993,39,"LP",20
"79",1993,40,"KE",20
"80",1993,40,"LP",20
"81",1993,41,"KE",20
"82",1993,41,"LP",20
"83",1993,42,"KE",20
"84",1993,42,"LP",20
"85",1993,43,"KE",20
"86",1993,43,"LP",20
"87",1993,44,"KE",20
"88",1993,44,"LP",20
"89",1993,45,"KE",20
"90",1993,45,"LP",20
"91",1993,46,"KE",20
