"","year","day","site","pm10"
"1",1993,76,"KE",292.8
"2",1993,112,"KE",173.970833333333
"3",1993,123,"KE",157.425
"4",1993,124,"KE",231.091666666667
"5",1993,318,"KE",389.841666666667
"6",1993,357,"KE",412.583333333333
"7",1994,5,"KE",186.333333333333
"8",1994,42,"KE",276.1625
"9",1994,71,"KE",183.145833333333
"10",1994,77,"LP",393.858333333333
"11",1994,81,"KE",305.158333333333
"12",1994,111,"LP",171.9875
"13",1994,277,"KE",158.625
"14",1995,62,"KE",161.579166666667
"15",1995,81,"KE",181.325
"16",1995,99,"KE",330.983333333333
"17",1995,116,"KE",160.558333333333
"18",1995,152,"KE",211.8625
"19",1995,156,"KE",276.191666666667
"20",1995,157,"KE",787.416666666667
"21",1995,330,"KE",233.9625
"22",1995,346,"KE",180.5125
"23",1996,85,"KE",208.183333333333
"24",1996,143,"KE",212.783333333333
"25",1996,144,"KE",260.55
"26",1996,193,"KE",194.8625
"27",1996,224,"KE",283.133333333333
"28",1996,343,"KE",194.833333333333
"29",1997,56,"KE",287.754166666667
"30",1997,114,"KE",169.9875
"31",1997,181,"KE",198.954166666667
"32",1997,323,"KE",185.745833333333
"33",1997,330,"KE",285.525
"34",1997,343,"KE",167.020833333333
"35",1997,344,"KE",372.0625
"36",1997,352,"KE",154.320833333333
"37",1997,353,"KE",834.945833333333
"38",1998,51,"KE",157.9375
"39",1998,65,"KE",215.8
"40",1998,77,"OL",217.033333333333
"41",1998,115,"KE",174.929166666667
"42",1998,167,"KE",199.495833333333
"43",1998,167,"LP",243.316666666667
"44",1998,349,"KE",151.625
"45",1999,52,"KE",304.641666666667
"46",1999,56,"LP",315.1375
"47",1999,70,"KE",150.995833333333
"48",1999,93,"LP",177.295833333333
"49",1999,94,"KE",285.220833333333
"50",1999,112,"KE",726.645833333333
"51",1999,112,"LP",172.170833333333
"52",1999,265,"KE",467.566666666667
"53",1999,336,"KE",374.3
"54",1999,341,"KE",260.933333333333
"55",1999,343,"DS",162.704166666667
"56",2000,45,"DS",270.275
"57",2000,79,"KE",242.116666666667
"58",2000,80,"KE",995.804166666667
"59",2000,81,"KE",640.016666666667
"60",2000,90,"KE",276.85
"61",2000,104,"DS",321.075
"62",2000,131,"KE",415.941666666667
"63",2000,132,"KE",160.133333333333
"64",2000,160,"DS",260.329166666667
"65",2000,295,"KE",736.183333333333
"66",2000,296,"KE",652.4875
"67",2000,299,"DS",383.691666666667
"68",2000,334,"DS",267.75
"69",2001,37,"SC",163.029166666667
"70",2001,53,"DS",169.929166666667
"71",2001,91,"FR",293.958333333333
"72",2001,92,"KE",170.579166666667
"73",2001,92,"SC",192.041666666667
"74",2001,96,"SC",207.3125
"75",2001,108,"DS",154.570833333333
"76",2001,109,"DS",540.870833333333
"77",2001,109,"SC",165.691666666667
"78",2001,122,"KE",686.95
"79",2001,122,"LP",159.354166666667
"80",2001,122,"OL",498.270833333333
"81",2001,303,"DS",168.1875
"82",2001,336,"DS",260.1625
"83",2001,348,"DS",254.7625
"84",2002,22,"KE",193.520833333333
"85",2002,48,"DS",217.6625
"86",2002,59,"KE",716.245833333333
"87",2002,59,"LP",318.05
